,mileage,s_max,s_min
670,32.23025017,1,-1
671,38.61177673,1,-1
672,25.94224567,1,-1
673,33.11001707,1,-1
674,33.36556225,1,-0.971969209
675,34.46529763,1.000099936,-1
676,30.99348594,1,-1
677,18.92529337,1,-1.011598431
678,33.00160287,1.000172963,-1
679,35.54219493,1,-1
680,29.91639509,1.034568184,-1
681,23.84784374,1,-1.011929041
682,29.90481568,1,-1
683,31.62431513,1.105770855,-1
684,28.96824066,1,-1
685,34.98351548,1,-1
686,34.60286678,1,-1
687,33.42344924,1.006293207,-1
688,34.90251756,1,-1
689,31.79127485,1.002114047,-1
690,40.21728229,1,-1.000216414
691,28.78856755,1,-1
692,31.95547104,1,-1.003950717
693,29.8663703,1,-0.931905492
694,32.80888572,1,-1
695,30.75990211,1,-1
696,41.54620484,1,-1
697,31.27688962,1.000971576,-0.980577994
698,30.76093348,1,-1
699,30.64669055,1,-1.000778587
700,34.45937285,1,-1
701,20.12536274,1.000137654,-1
702,35.66941689,1,-1
703,37.81684045,1,-1
704,32.04547759,1,-1
705,19.30731977,1,-1
706,23.31922026,1,-1
707,32.60153241,1,-0.998344414
708,29.65676792,1,-1
709,33.24669944,1,-1
710,29.05217481,1,-1
711,27.87796371,1,-1.007635212
712,24.42786529,1,-1
713,18.1727349,1.011951958,-1.009966612
714,29.14005435,1,-1.012963376
715,32.41598959,1,-1
716,32.93638323,1,-0.999999301
717,34.58377071,1,-1
718,29.16258132,1,-1
719,31.90571434,1,-1
720,27.35292367,1,-1
721,30.60346067,1,-1
722,38.73252017,1,-1
723,32.69561526,1,-1
724,31.98720417,1,-1
725,16.87490364,1,-1.009947848
726,25.76392942,1,-1
727,26.98512561,1,-1.025414972
728,33.81168408,1,-1
729,32.30043859,1,-1
730,25.43050195,1,-1
731,34.49894018,1,-1
732,38.57895633,1,-1
733,34.66203523,1,-1
734,42.66897619,1,-1
735,29.19121709,1,-1
736,28.36824713,1,-1.00829366
737,28.14230936,1,-1.004688858
738,29.24691957,1,-1
739,41.79934139,1,-1
740,33.91012958,1,-1.001377424
741,35.35879719,1,-1
742,30.19987508,1,-1
743,17.08143371,1,-1
744,30.79610929,1,-0.999999957
745,27.79893864,1,-1
746,31.14053882,1,-1
747,30.65859769,1,-1.000051351
748,36.90495986,1,-1
749,27.68490022,1,-1
750,30.6167862,1,-1.020114099
751,33.00772862,1,-1
752,37.02705857,1,-1
753,37.35249399,0.928680638,-1
754,25.13475476,1,-0.999999999
755,36.24987926,1.028247265,-1
756,29.69450572,1,-1
757,29.32581426,0.981354567,-0.858031085
758,31.81556461,1,-0.999999415
759,28.83199432,1,-1
760,30.91494425,1,-1.001858884
761,25.72720742,1,-1
762,32.7122425,1,-1
763,30.9958449,1,-1
764,39.52721841,1,-0.894685182
